cost,charging_points,pay_at_location,is_operational,latitude,longitude,operator,connection_type,Address
Unknown,2,Unknown,Unknown,-27.6162053,152.7584677,Yurika,"Type 2 (Socket Only), CHAdeMO","Yurika, South Street, Ipswich, Greater Brisbane, Queensland, 4305, Australia"
Unknown,1,Unknown,Unknown,-35.7344119,143.9213354,Charging the Regions,CHAdeMO,"Charging the Regions, Albert Street, Kerang, Shire of Gannawarra, Victoria, 3579, Australia"
Unknown,1,Unknown,Unknown,-32.9033741,151.6676792,Tesla,Unknown,"Cowper Street, Wallsend, Newcastle, Newcastle-Maitland, City of Newcastle, New South Wales, 2287, Australia"
Unknown,1,Unknown,Unknown,-38.1805437,146.3477263,EnergyAustralia,CHAdeMO,"Eastern Road, Yallourn, City of Latrobe, Victoria, 3825, Australia"
Unknown,1,Unknown,Unknown,-35.2745267,149.1333578,"Tesla, Inc.",Unknown,"Tesla, Inc., Torrens Street, Braddon, North Canberra, District of Canberra Central, Australian Capital Territory, 2612, Australia"
Unknown,1,Unknown,Unknown,-42.1522093,145.3299069,"Tesla, Inc.",Unknown,"Tesla, Inc., Esplanade, Regatta Point, Strahan, West Coast, Tasmania, 7468, Australia"
Unknown,1,Unknown,Unknown,-36.4459863,148.4516049,"Tesla, Inc.",Unknown,"Tesla, Inc., Rocky Road, Crackenback, Snowy Monaro Regional Council, New South Wales, 2627, Australia"
Unknown,1,Unknown,Unknown,-36.4146819,148.6165569,"Tesla, Inc.",Unknown,"Tesla Destination Charger, 10, Kosciuszko Road, Jindabyne, Snowy Monaro Regional Council, New South Wales, 2627, Australia"
Unknown,1,Unknown,Unknown,-35.3457734,149.0857708,Unknown,Type 1 (J1772),"Westfield Shopping Centre, Phillip, District of Woden Valley, Australian Capital Territory, 2606, Australia"
Unknown,1,Unknown,Unknown,-42.1348216,148.3020342,"Tesla, Inc.",Unknown,"Tesla, Inc., Richardsons Lane, Coles Bay, Glamorgan-Spring Bay, Tasmania, 7215, Australia"
Unknown,1,Unknown,Unknown,-41.4403151,147.1290413,"Tesla, Inc.",Unknown,"Tesla, Inc., Kings Park Trail, Launceston, City of Launceston, Tasmania, 7250, Australia"
Unknown,7,Unknown,Unknown,-30.555484,151.6821565,Peterson's Armidale,Unknown,"Lucas Lane, Acacia Park, Armidale, Armidale Regional Council, New South Wales, 2350, Australia"
Unknown,2,Unknown,Unknown,-30.5062581,151.6728399,"Tesla, Inc.",Type 2 (Socket Only),"Tesla Destination Charger, 31, Marsh Street, North Hill, Armidale, Armidale Regional Council, New South Wales, 2350, Australia"
Unknown,1,Unknown,Unknown,-33.1048978,151.6482486,Porsche,Unknown,"Mawson Close, Caves Beach, City of Lake Macquarie, New South Wales, 2281, Australia"
Unknown,2,Unknown,Unknown,-38.1293011,144.3453057,Unknown,Unknown,"Weddell Road, North Geelong, Geelong, City of Greater Geelong, Victoria, 3215, Australia"
Unknown,2,Unknown,Unknown,-17.3736451,145.3844854,Tropical North Queensland Electric Vehicle Tourist Drive,Unknown,"Broadway, Herberton, Tablelands Regional, Queensland, 4887, Australia"
Unknown,1,Unknown,Unknown,-34.937999,138.6437536,Chargefox,Type 2 (Socket Only),"Hyde Street, Tusmore, Adelaide, City of Burnside, South Australia, 5065, Australia"
Unknown,2,Unknown,Unknown,-35.2941487,139.0244883,"Tesla, Inc.",Type 2 (Socket Only),"Tesla, Inc., Kent Town Road, Langhorne Creek, Alexandrina Council, South Australia, 5255, Australia"
